post_id,text,tokens,rationales,label,rationales_list,hate_words,hate
1021419130165985281,@USER පල යන්න තෝ වල් ආසියා,@USER පල යන්න තෝ වල් ආසියා,"[0, 0, 0, 1, 1, 0]",OFF,"[0, 0, 0, 1, 1, 0]","තෝ, වල්",1
1439835761637949445,කැත වැඩේ මගෙන් 100ක් ගන්නවා ඕයි. @USER  @USER  @USER,කැත වැඩේ මගෙන් 100ක් ගන්නවා ඕයි . @USER @USER @USER,[],NOT,[],,0
1291964173363089409,@USER අනේ මන්ද මොනවා කියවනද කියලා මේක නෙමෙයි අරකලු අරක නෙමෙයි මේකලු  කෑල්ලක් අල්ලගෙනලු මේකට උත්තර දුන්නෙ නම් මේ මෝඩ චූන් එකක්වත් නෑනෙ දෙයියනේ බායි හොදේ මණ්ඩුක @USER  · 8 Aug 2020 මේ tweet එකේ මෙයා වටෙන් ගිහින් අදහස් කරන්නෙ කුමන දේශපාලන පක්ෂයද කුමන සෙට් එකක්ද කියලා වටෙස් නොයා කෙලින් කියන්න පුලුවන් එක්කෙනෙක් reply කරල දැනුවත් කරන්න  twitter.com/Yasiru_/status…,@USER අනේ මන්ද මොනවා කියවනද කියලා මේක නෙමෙයි අරකලු අරක නෙමෙයි මේකලු කෑල්ලක් අල්ලගෙනලු මේකට උත්තර දුන්නෙ නම් මේ මෝඩ චූන් එකක්වත් නෑනෙ දෙයියනේ බායි හොදේ මණ්ඩුක @USER 8 Aug 2020 මේ tweet එකේ මෙයා වටෙන් ගිහින් අදහස් කරන්නෙ කුමන දේශපාලන පක්ෂයද කුමන සෙට් එකක්ද කියලා වටෙස් නොයා කෙලින් කියන්න පුලුවන් එක්කෙනෙක් reply කරල දැනුවත් කරන්න twitter . com / Yasiru_ / status,[],NOT,[],,0
780026487667822592,හා..කෝ වරෙල්ල බලන්න මේ සක්කිලි දෙමල බැල්ලි වෙනුවෙන් කඩේ ගියපු අවජාතක නමට සිංහල කොටි ටික..මූන බලාගන්න URL,හා . . කෝ වරෙල්ල බලන්න මේ සක්කිලි දෙමල බැල්ලි වෙනුවෙන් කඩේ ගියපු අවජාතක නමට සිංහල කොටි ටික . . මූන බලාගන්න URL,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",OFF,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","සක්කිලි, අවජාතක",1
1485013095164559361,@USER තොපි වගේ කාලකන්නි අවජාතක බල්ලෝ මුංට කඩේ යනකම් රට විකුණනවා බොරු කිය කියා. යකෝ මේවා විකුණුවේ ප්‍රකෝටි ගණන් කොමිස් ගහලා. තුට්ට දෙකට කඩේ යන කාලකන්නි තොපිට කොහෙද රටක් ගැන කැක්කුමක් දඩාවතේ යන බල්ලෝ!,@USER තොපි වගේ කාලකන්නි අවජාතක බල්ලෝ මුංට කඩේ යනකම් රට විකුණනවා බොරු කිය කියා . යකෝ මේවා විකුණුවේ ප්‍රකෝටි ගණන් කොමිස් ගහලා . තුට්ට දෙකට කඩේ යන කාලකන්නි තොපිට කොහෙද රටක් ගැන කැක්කුමක් දඩාවතේ යන බල්ලෝ !,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",OFF,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]","තොපි, කාලකන්නි, අවජාතක, බල්ලෝ, මුංට, යකෝ, කාලකන්නි, තොපිට, බල්ලෝ",1
1251717000096886785,"#SriLanka #lka #bylogic #hopeslive  යහපාලන ආණ්ඩුව කාලේ පෙට්රෝල් ගහන්ට පෝලිමේ ඉන්නකොට,   #පුකේඉත්තෑවෝ දුවපු,   #හිරු,#දෙරෙන #ස්වර්ණවාහිනී #සිරස ට  වොයිස් කට් දීපු හැත්ත,බුරුත්ත,  දැන් ග්‍රාම සේවක හම්බවෙන්න්ටත්   #මුඛපූට්ටුකොරන් පෝලිමේ යනවා..!!!!  ""දැන් සැප ද..!!!""","# SriLanka # lka # bylogic # hopeslive යහපාලන ආණ්ඩුව කාලේ පෙට්රෝල් ගහන්ට පෝලිමේ ඉන්නකොට , # පුකේඉත්තෑවෝ දුවපු , # හිරු , # දෙරෙන # ස්වර්ණවාහිනී # සිරස ට වොයිස් කට් දීපු හැත්ත , බුරුත්ත , දැන් ග්‍රාම සේවක හම්බවෙන්න්ටත් # මුඛපූට්ටුකොරන් පෝලිමේ යනවා . . ! ! ! ! "" දැන් සැප ද . . ! ! ! ""","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",OFF,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","හැත්ත, බුරුත්ත",1
1314966444686413824,අඩො නෝ  Yoooo @USER  · 10 Oct 2020 Keels එකේ දෙනෝදහක් මැද්දෙ කලිසම ඉරැනා,අඩො නෝ Yoooo @USER 10 Oct 2020 Keels එකේ දෙනෝදහක් මැද්දෙ කලිසම ඉරැනා,[],NOT,[],,0
737675338046525441,@USER ටහුඩු ..  ඉන්නවා ඉන්නවා .. බිසී පොඩ්ඩක් දන්නැද්ද  උඹට කොහොමැයි ?,@USER ටහුඩු . . ඉන්නවා ඉන්නවා . . බිසී පොඩ්ඩක් දන්නැද්ද උඹට කොහොමැයි ?,[],NOT,[],,0
1059477707266973696,@USER රාජ්‍ය නායකයෙක් තියා අවම සමාජ සාරධර්මවලින් හෙබි මිනිසෙක් වත් නොකරන සක්කිලිම සක්කිලි අවර අදම බලු විදියට මිනිසෙකුගේ ලිංගිකත්වයට අපහාස කර නුබ මනුෂ්‍ය ශුක්‍රාණුවකින් සංසේවනය වූ කළලයකින් ඉපදුනා විය නොහැක.. කරුණාකර මව් පාර්ශවයෙන් විමසා පියා කුමන වර්ගයේ සත්වයෙක් දැයි සොයාගන්න..,@USER රාජ්‍ය නායකයෙක් තියා අවම සමාජ සාරධර්මවලින් හෙබි මිනිසෙක් වත් නොකරන සක්කිලිම සක්කිලි අවර අදම බලු විදියට මිනිසෙකුගේ ලිංගිකත්වයට අපහාස කර නුබ මනුෂ්‍ය ශුක්‍රාණුවකින් සංසේවනය වූ කළලයකින් ඉපදුනා විය නොහැක . . කරුණාකර මව් පාර්ශවයෙන් විමසා පියා කුමන වර්ගයේ සත්වයෙක් දැයි සොයාගන්න . .,[],OFF,[],,1
1317999434593165312,සුද්දෝ නම් පාරෙ ගස් යට තාප්ප අයිනේ  බිජ්ජ එලියෙ දාන් හුජ්ජ කරන්නේ නැහැය කියලා ඉස්සර පණ්ඩිත ඩෑල් අපේ ටිවි වල ටෝක්ස් දෙනවා.  . පාරේ මුත්‍රා කරන එක වලක්වන්න ලන්ඩන් පැරිස් නගර වල මහ මග මුත්‍රා පෙට්ටි සවි කරලා තියෙනවා කියල දැන් දැනගත්තම අරුන්ට හොම්බෙන් යන්න දෙන්න හිතෙනවා.,සුද්දෝ නම් පාරෙ ගස් යට තාප්ප අයිනේ බිජ්ජ එලියෙ දාන් හුජ්ජ කරන්නේ නැහැය කියලා ඉස්සර පණ්ඩිත ඩෑල් අපේ ටිවි වල ටෝක්ස් දෙනවා . . පාරේ මුත්‍රා කරන එක වලක්වන්න ලන්ඩන් පැරිස් නගර වල මහ මග මුත්‍රා පෙට්ටි සවි කරලා තියෙනවා කියල දැන් දැනගත්තම අරුන්ට හොම්බෙන් යන්න දෙන්න හිතෙනවා .,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",OFF,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","බිජ්ජ, හුජ්ජ",1
