post_id,text,tokens,rationales,label,rationales_list,hate word,Hate
1.42728E+18,@USER  @USER ඔයාටත් දාන්නම් ඩාලින්,@USER @USER ඔයාටත් දාන්නම් ඩාලින්,[],NOT,[],,0
1.42903E+18,@USER බිජ්ජ ට කියන සමාන පදයක්,@USER බිජ්ජ ට කියන සමාන පදයක්,"[0, 1, 0, 0, 0, 0]",OFF,"[0, 1, 0, 0, 0, 0]",බිජ්ජ,1
9.67224E+17,"lanka C news | ඇගට පතට බඩට කටට හදවතට දැනෙන, ඇස් දෙකට පෙනෙන කන්වලට මිහිරි වැඩක් දින තුනක් ඇතුලත එනවා – සජිත් URL","lanka C news | ඇගට පතට බඩට කටට හදවතට දැනෙන , ඇස් දෙකට පෙනෙන කන්වලට මිහිරි වැඩක් දින තුනක් ඇතුලත එනවා – සජිත් URL",[],NOT,[],,0
8.9921E+17,හයේ එකක් ඇරෝ... විකට් එක්ක දෙන්න නෙවෙයි බොල කිව්වේ. #SLvIND #TweepsMatchOut,හයේ එකක් ඇරෝ . . . විකට් එක්ක දෙන්න නෙවෙයි බොල කිව්වේ . # SLvIND # TweepsMatchOut,[],NOT,[],,0
1.36444E+18,slt එකයි mobitel එක එකට එකතු උනාට අපිට ලැබුන වාසිය මොකද්ද කියන්න බලන්න .මට දැනුන දේ පට්ට advertising cost එකක් නම් ගිහිල්ලා තියෙනවා විතරයි මම නම් දැකපු දේ.... ඒ ඇරැන්න  මිනිස්සුන්ට ලැබුන ල බ් බ ක් නම් නෑ....,slt එකයි mobitel එක එකට එකතු උනාට අපිට ලැබුන වාසිය මොකද්ද කියන්න බලන්න . මට දැනුන දේ පට්ට advertising cost එකක් නම් ගිහිල්ලා තියෙනවා විතරයි මම නම් දැකපු දේ . . . . ඒ ඇරැන්න මිනිස්සුන්ට ලැබුන ල බ් බ ක් නම් නෑ . . . .,[],NOT,[],,0
6.79576E+17,@USER @USER @USER ලස්සන ගස් ලබ්බ නේද? දැක්කම මිරිකන්න හිතෙනවා,@USER @USER @USER ලස්සන ගස් ලබ්බ නේද ? දැක්කම මිරිකන්න හිතෙනවා,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",OFF,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]","ලබ්බ, මිරිකන්න",1
1.29887E+18,"@USER ඒ කතාව පුද්ගලිකව මට සිරාවට දැනුනා, ගොන් තඩියෙක් සෙට් කර ගත්තා ම වටේ යන එකත් ලේසි ඒ වගේම වටේ යන එකෙක් සෙට් කර ගත්තා ම දෙන්නටම එහෙම යන්නත් පුළුවන් නෙහ්, අපේ පුද්ගලිකත්වයක් තියෙනවා කියලා එහෙම කරන්න පුළුවන්","@USER ඒ කතාව පුද්ගලිකව මට සිරාවට දැනුනා , ගොන් තඩියෙක් සෙට් කර ගත්තා ම වටේ යන එකත් ලේසි ඒ වගේම වටේ යන එකෙක් සෙට් කර ගත්තා ම දෙන්නටම එහෙම යන්නත් පුළුවන් නෙහ් , අපේ පුද්ගලිකත්වයක් තියෙනවා කියලා එහෙම කරන්න පුළුවන්","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",OFF,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","ගොන්, තඩියෙක්",1
1.19776E+18,ඉතින් බැංකුවට ගිහාම හප්පා නාකි සෙට් එකක් තමා ඉන්නෙ..උපරිම 35 ට වැඩි..මට වයස 21යි.. අර කට්ටිය හිටියෙ ඉතින් දෙන්නං උඹලට මූඩ් එකේ..ඔන්න ඉතින් අපි අර ඉස්කෝල මානසිකත්වයෙන් එලියට එන්නෙ මෙතනදි..අපි ඉස්කෝලෙ ඉන්නකොට ශා ඔක්කොම කට්ටිය හොඳයි විහිලු කියන හරි ශෝක් උනාට රස්සාවෙ එහෙම නෑ,ඉතින් බැංකුවට ගිහාම හප්පා නාකි සෙට් එකක් තමා ඉන්නෙ . . උපරිම 35 ට වැඩි . . මට වයස 21යි . . අර කට්ටිය හිටියෙ ඉතින් දෙන්නං උඹලට මූඩ් එකේ. . ඔන්න ඉතින් අපි අර ඉස්කෝල මානසිකත්වයෙන් එලියට එන්නෙ මෙතනදි . . අපි ඉස්කෝලෙ ඉන්නකොට ශා ඔක්කොම කට්ටිය හොඳයි විහිලු කියන හරි ශෝක් උනාට රස්සාවෙ එහෙම නෑ,[],NOT,[],,0
7.90567E+17,කවුද  බොලව් මේ රිතික්ගේ බෙල්ලේ එල්ලිලා ඉන්න මයුරි කෙල්ල  හෙන ගහනවා බොල,කවුද බොලව් මේ රිතික්ගේ බෙල්ලේ එල්ලිලා ඉන්න මයුරි කෙල්ල හෙන ගහනවා බොල,[],NOT,[],,0
6.66004E+17,තරු කැට පවා සාප කරයි උඹට... (මෙම වීඩියෝව හිතට දැනුන අය ෂෙයාර් කරන්න අනිත් යාලුවන්ටත් බලන්න...) ( Created By -... URL,තරු කැට පවා සාප කරයි උඹට . . . ( මෙම වීඩියෝව හිතට දැනුන අය ෂෙයාර් කරන්න අනිත් යාලුවන්ටත් බලන්න . . . ) ( Created By - . . . URL,[],NOT,[],,0
1.18074E+18,@USER කවුද අලුත් 8 දෙනා ? #srilanka #lka,@USER කවුද අලුත් 8 දෙනා ? # srilanka # lka,[],NOT,[],,0
1.17527E+18,@USER උදේ පාන්දර විකල්ප දේශපාලනය ගැන කිව්වා. කොහෙද පැන්නනෙ එකෙක් මැද්දට. කියන එකක් තේරුම් ගන්නෙ නෑ ඒ හරකා....,@USER උදේ පාන්දර විකල්ප දේශපාලනය ගැන කිව්වා . කොහෙද පැන්නනෙ එකෙක් මැද්දට . කියන එකක් තේරුම් ගන්නෙ නෑ ඒ හරකා . . . .,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",OFF,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",හරකා,1
6.75362E+17,කැහුටු බැල්ලියක් සමග සටනක ජීවිතය වැරදුනු නාකි හීරලුවෙක්,කැහුටු බැල්ලියක් සමග සටනක ජීවිතය වැරදුනු නාකි හීරලුවෙක්,"[1, 1, 0, 0, 0, 0, 1, 1]",OFF,"[1, 1, 0, 0, 0, 0, 1, 1]","කැහුටු, බැල්ලියක්, නාකි, හීරලුවෙක්",1
1.18764E+18,අවුරුදු 4.5 ක් පොල් ගෑවද යකෝ... අඩුම තරමෙ විපක්ෂ කණ්ඬායම් ටික කරපු තරමෙ දෙයක්වත් කොරාද ?,අවුරුදු 4.5 ක් පොල් ගෑවද යකෝ . . . අඩුම තරමෙ විපක්ෂ කණ්ඬායම් ටික කරපු තරමෙ දෙයක්වත් කොරාද ?,[],NOT,[],,0
1.11294E+18,"@USER පවු අප්පා, උපුල් අයියා සෑහෙන්න චාටර් එකක් කෑවා නේද? පොත දියන් නැත්තන් පුක දියන්","@USER පවු අප්පා , උපුල් අයියා සෑහෙන්න චාටර් එකක් කෑවා නේද ? පොත දියන් නැත්තන් පුක දියන්","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",OFF,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",පුක,1
7.77561E+17,වදින්න ගිය ඇපලට ගොනා ඇනලා සෆාරීයෙන් වැටුන මිනිහගේ ඉහේ ඔපෙරා මිනි කඩන් වැටුනා වගේ සීන් එකක් උනේ,වදින්න ගිය ඇපලට ගොනා ඇනලා සෆාරීයෙන් වැටුන මිනිහගේ ඉහේ ඔපෙරා මිනි කඩන් වැටුනා වගේ සීන් එකක් උනේ,[],NOT,[],,0
